공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적(㎡),공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
제12호 소공원,소공원,,,,,589.5,,,,,"도로, 광장, 쉼터, 파고라, 앉음벽, 평의자, 디딤석, 녹지",2019-01-31,경기도 가평군청,031-580-2372,2022-05-24
청평 어린이공원,어린이공원,,,,,1660,운동시설,"어린이놀이터, 조합놀이대, 흔들놀이, 시소, 놀이집",,,"도로, 광장, 플랜터, 수목보호대, 파고라, 의자, 앉음벽",1987-12-05,경기도 가평군청,031-580-2374,2022-05-24
목동 근린공원,근린공원,,,,,43113,"테니스장, 게이트볼장",어린이놀이터,전망대,전시장,"야생화화원, 조경녹지, 휴게광장, 도로, 주차장, 산책로",1974-12-26,경기도 가평군청,031-580-2372,2022-05-24
참전비 공원,근린공원,,,,,3300,,"잔디밭, 벤치, 광장",,조경녹지,,1971-06-03,경기도 가평군청,031-580-2372,2022-05-24
호명호수공원,문화공원,,,,,241538,,"광장, 산책로, 지당, 화계, 폭포, 휴게쉼터","화장실, 나들센터","전시회랑, 숲속공연장, 야외교실",농특산물체험장,2007-06-11,경기도 가평군청,031-580-2512,2022-05-24
가평 체육공원,체육공원,,,,,108512,"축구장, 체력단련시설, 족구장, 농구장, 씨름장, 체육관",,"주차장, 관리사무소",야외무대,"광장, 쉼터, 창고",2003-01-08,경기도 가평군청,031-580-2503,2022-05-24
다목적 체육공원,체육공원,,,,,25421,"축구장, 농구장, 게이트볼장, 체력단련장","잔디밭, 휴게쉼터, 광장","주차장, 관리실, 음수대",,,2009-09-10,경기도 가평군청,031-580-2503,2022-05-24
설악 체육공원,체육공원,,,,,44241,"테니스장, 축구장","휴식공간, 광장","관리사무소, 주차장",,,2009-09-10,경기도 가평군청,031-580-2503,2022-05-24
하면 어린이공원,어린이공원,,,,,1540,"주민체육시설, 운동시설","어린이놀이터, 조합놀이대, 휴게쉼터, 파고라, 등의자",주차장,,"휀스, 도로",2015-08-21,경기도 가평군청,031-580-2344,2022-05-24
제4호 문화공원,문화공원,,,,,1763.7,,"놀이마당, 조합놀이대","잔디마당, 가제보, 평의자",,"산책로, 중앙광장",2011-03-17,경기도 가평군청,031-580-2372,2022-05-24
